"HolderAddress","Quantity","PendingBalanceUpdate"
"0x3c832da5b702842f4b72b104f941c471ac7e89a7","1","No"
"0x3c8f6d1559d1e2e4f48d51b4bc5fdb5c783a8940","1","No"
"0x3ce99e62034fada50ff4cd4bd2d89de119dcad0f","1","No"
"0x3d7b66368ab0e7196d93f59a51cd3c21cbc0f9e0","1","No"
"0x3dee0a3a7fc4c9ebc236bf65b358d7afc80c136b","1","No"
"0x3dfeb176dd11b73bd8778432cc1e99731793d60a","1","No"
"0x3e08d25fe61ae0baed3ffee35686682292f71113","1","No"
"0x3e89d62d43adf9156c12b25a247a59240813cec0","1","No"
"0x3ed6fd64d3f2efefc96fc691320662a3e23248cd","1","No"
"0x3f07fb4bee98e40803a68cadfb6b33e77f93fccc","1","No"
"0x3f290153a988bf2a03dbe57c7952ffabf1fdb4dd","1","No"
"0x3f59fdb338fa0157e2328470a113ec8f38e13797","1","No"
"0x3f6546e6a21d61b7d2736731ffc906f852d41629","1","No"
"0x3f669f58d6fe412a2b4079906b39291b97e18a5a","1","No"
"0x3fb50b14058bb5bffbf871ee973f7ccdde7ff426","1","No"
"0x3ff7ddfdc51f7a2d2833c7f594b1fd9bb4ec7ef5","1","No"
"0x402e91e07bc4181c7f07eff1914b442da6715fc6","1","No"
"0x4123ffc81579e38dfff74b75d8bdf21c41e62237","1","No"
"0x41d06a89ca45febfe74a4739b72f8d18f8169dbd","1","No"
"0x4201645a0cfe440b3c70ee48bbf78887e03b1ee2","1","No"
"0x4231545f9cec86d3eb9cd34d9c26d8a22378fb02","1","No"
